CASEID,YEAR,STATE,DETOX,TREATMT,OWNERSHP,FEDOWN,HOSPITAL,LOCS,ASSESSMENT,TESTING,TRANSITION,ANCILLARY,SRVC75,OTHER_SRVC,SRVC71,SRVC108,SRVC85,SRVC87,SRVC86,OTP,OTPALL,OTPTYPE,COMPSAT,DUI_DWI,ONLYDUI,SIGNLANG,LANG,LANG16,LANG1,LANG2,LANG3,LANG21,LANG4,LANG5,LANG6,LANG7,LANG8,LANG9,LANG10,LANG22,LANG11,LANG19,LANG23,LANG12,LANG13,LANG14,LANG15,LANG20,LANG17,LANG18,SRVC76,SRVC83,SRVC84,SRVC126,SRVC127,SRVC128,SRVC33,SRVC63,SRVC62,SRVC113,SRVC114,SRVC115,SRVC61,SRVC31,SRVC32,SRVC116,CTYPE4,CTYPEHI1,CTYPEHI2,CTYPE7,CTYPERC1,CTYPERC3,CTYPERC4,CTYPE1,CTYPE6,CTYPEML,CTYPEOP,CTYPE2,CTYPE3,FEESCALE,PAYASST,EARMARK,REVCHK3,REVCHK1,REVCHK8,REVCHK5,REVCHK10,REVCHK15,REVCHK2,REVCHK17,T_CLI1,T_CLI2,T_CLIHI,H_AGE1,HIMETNUM,HIBUPNUM,HIVIVNUM,HIMATNUM,HOSPBED,T_CLI3,T_CLI9,T_CLI10,T_CLIRC,R_AGE1,RCMETNUM,RCBUPNUM,RCVIVNUM,RCMATNUM,RESBED,T_CLI7,T_CLIML,T_CLI8,T_CLI6,T_CLI5,T_CLIOP,O_AGE1,OPMETNUM,OPBUPNUM,OPVIVNUM,OPMATNUM,B_PCT,A_PCT,D_PCT,LOC5,LICEN,ACCRED
1,2013,AK,0,1,5,,0,,7,0,2,15,0,0,0,0,0,0,0,0,,,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,5,5,1,1,1,1,,1,5,1,0,1,M
2,2013,AK,0,1,2,,0,,5,3,1,14,0,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,1,1,0,0,0,0,0,0,0,1,0,0,0,,,1,0,1,1,0,,,,,,1,1,1,0,1,0,1,0,0,1,D,,,,,,,,,,2,4,2,4,1,1,1,1,,4,,,,,,,,,,,,5,1,1,0,1,1
3,2013,AK,1,1,2,,0,,4,3,2,1,0,0,0,0,1,0,0,1,1,3,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,1,1,1,1,1,1,1,1,5,0,1,1
4,2013,AK,0,1,2,,0,,7,2,2,13,0,0,0,0,0,0,0,0,,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,1,1,1,0,1,0,0,0,1,1,0,1,0,,,1,0,0,1,0,,,,,,1,1,1,0,1,0,0,0,1,1,0,,,,,,,,,,1,1,4,3,1,1,1,1,,3,,,,,,,,,,,,5,1,1,0,1,1
5,2013,AK,1,1,2,,1,1,6,2,2,12,0,0,0,0,0,0,0,0,,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,1,1,0,0,0,0,0,0,0,0,0,1,0,,,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,D,,,,,,,,,,1,2,1,2,1,1,1,1,,1,1,1,1,4,3,4,1,1,1,1,,4,2,1,0,1,1
6,2013,AK,0,1,2,,0,,4,1,2,7,0,0,0,0,0,0,0,0,,,1,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,,,0,0,0,0,0,1,1,0,0,1,0,,,0,,,,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,1,1,1,3,1,2,4,1,1,1,,4,2,1,0,1,M
7,2013,AK,0,1,5,,0,,7,7,2,10,0,0,1,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,1,1,1,1,,1,5,3,0,1,M
8,2013,AK,0,1,5,,1,1,5,7,1,11,0,0,1,1,1,1,1,0,,,4,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,,,,1,0,0,1,0,1,0,1,D,D,D,D,D,D,D,D,D,1,2,2,1,1,1,1,,1,,,,,,,,,,,1,1,2,1,1,2,1,1,1,1,,4,2,1,0,M,M
9,2013,AK,0,1,4,,0,,7,0,2,13,0,3,0,0,0,0,0,0,,,1,0,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,D,,,,,,,,,,,,,,,,,,,,1,1,1,1,4,4,2,1,1,1,,5,1,1,0,1,M
10,2013,AK,0,1,2,,0,,6,0,2,10,0,0,0,0,0,0,0,0,,,1,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,5,4,0,1,M
